_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
23137,13465959,Richmond St E,Parliament St,1,NA,NA,NA,NA,1,"c(-79.3640229981536, 43.6545590110734)",NA,NA,NA,2007-11-09T05:00:00,NA,PARLIAMENT ST,RICHMOND ST E,PARLIAMENT ST,1,NA,223,NA,51,Toronto Centre(13),NA,NA,NA,Richmond St E And Parliament St,Toronto and East York,6001,RICHMOND ST E
23138,13467993,Lake Shore Blvd W,York St,2,NA,NA,NA,NA,2,"c(-79.3808680070637, 43.6414600021636)",NA,NA,NA,2007-11-09T05:00:00,NA,YORK ST,LAKE SHORE BLVD W,YORK ST,2,NA,205,WB LAKE SHORE BLVD,52,Spadina-Fort York(10),NA,NA,NA,Lake Shore Blvd W And York St,Toronto and East York,6002,LAKE SHORE BLVD W
23139,13444656,Steeles Ave W,Carpenter Rd,3,NA,NA,NA,NA,3,"c(-79.447588998966, 43.7920130014137)",NA,NA,NA,2007-11-09T05:00:00,PRIVATE ACCESS,CARPENTER RD,STEELES AVE W,CARPENTER RD,3,SHOPPING CENTRE,1564,NA,32,York Centre(6),NA,NA,NA,Steeles Ave W And Carpenter Rd / Private Access @ Shopping Centre,North York,6003,STEELES AVE W
23140,13444138,Steeles Ave W,Hilda Ave,4,NA,NA,NA,NA,4,"c(-79.4292670008865, 43.7960070062936)",NA,NA,NA,2007-11-09T05:00:00,NA,HILDA AVE,STEELES AVE W,HILDA AVE,4,NA,1115,NA,32,Willowdale(18),NA,NA,NA,Steeles Ave W And Hilda Ave,North York,6004,STEELES AVE W
23141,13451893,Albion Rd,Silverstone Dr,5,NA,NA,NA,NA,5,"c(-79.6000939933117, 43.7429520012624)",NA,NA,NA,2007-11-09T05:00:00,NA,SILVERSTONE DR,ALBION RD,SILVERSTONE DR,5,NA,1156,NA,23,Etobicoke North(1),NA,NA,NA,Albion Rd And Silverstone Dr,Etobicoke York,6005,ALBION RD
23142,13459576,Dixon Rd,Kipling Ave,6,NA,NA,NA,NA,6,"c(-79.5586490059244, 43.6942490044885)",NA,NA,NA,2008-03-18T04:00:00,NA,KIPLING AVE,DIXON RD,KIPLING AVE,6,NA,435,NA,23,Etobicoke North(1),NA,Etobicoke Centre(2),NA,Dixon Rd And Kipling Ave,Etobicoke York,6007,DIXON RD
23143,13448601,Steeles Ave W,Islington Ave,7,NA,NA,NA,NA,7,"c(-79.5748709931268, 43.7643430030644)",NA,NA,NA,2008-10-28T04:00:00,NA,ISLINGTON AVE,STEELES AVE W,ISLINGTON AVE,7,NA,1208,NA,31,Humber River-Black Creek(7),NA,NA,NA,Steeles Ave W And Islington Ave,Etobicoke York,6008,STEELES AVE W
23144,13450231,Sheppard Ave W,Wilson Heights Blvd,8,NA,NA,NA,NA,8,"c(-79.4567510019211, 43.7516630010107)",NA,NA,NA,2009-03-17T04:00:00,NA,WILSON HEIGHTS BLVD,SHEPPARD AVE W,WILSON HEIGHTS BLVD,8,NA,631,NA,32,York Centre(6),NA,NA,NA,Sheppard Ave W And Wilson Heights Blvd,North York,6009,SHEPPARD AVE W
23145,13449607,Bathurst St,Sheppard Ave W,9,NA,NA,NA,NA,9,"c(-79.4384810044369, 43.7554580028968)",NA,NA,NA,2007-11-09T05:00:00,NA,SHEPPARD AVE W,BATHURST ST,SHEPPARD AVE W,9,NA,672,NA,32,York Centre(6),NA,NA,NA,Bathurst St And Sheppard Ave W,North York,6010,BATHURST ST
23146,13455749,Lawrence Ave W,Marlee Ave,10,NA,NA,NA,NA,10,"c(-79.4465200053405, 43.7156150035191)",NA,13,NA,2008-03-19T04:00:00,PRIVATE ACCESS,MARLEE AVE,LAWRENCE AVE W,MARLEE AVE,10,LAWRENCE SQUARE ACCESS,425,NA,32,Eglinton-Lawrence(8),NA,NA,NA,Lawrence Ave W And Marlee Ave / Private Access @ Lawrence Square Access,North York,6011,LAWRENCE AVE W
23147,13455135,Bathurst St,Lawrence Ave W,11,NA,NA,NA,NA,11,"c(-79.4298159904052, 43.7192580018008)",NA,13,53,2008-08-11T04:00:00,NA,LAWRENCE AVE W,BATHURST ST,LAWRENCE AVE W,11,NA,423,NA,32,Eglinton-Lawrence(8),NA,NA,NA,Bathurst St And Lawrence Ave W,North York,6012,BATHURST ST
23148,13444532,Bayview Ave,Cummer Ave,12,NA,NA,NA,NA,12,"c(-79.3935960040456, 43.7922969999153)",NA,32,NA,2009-03-17T04:00:00,NA,CUMMER AVE,BAYVIEW AVE,CUMMER AVE,12,NA,651,NA,33,Willowdale(18),NA,Don Valley North(17),NA,Bayview Ave And Cummer Ave,North York,6013,BAYVIEW AVE
23149,13452717,Leslie St,Lawrence Ave E,13,NA,NA,NA,NA,13,"c(-79.3559789975746, 43.7345350020512)",NA,NA,NA,2008-05-29T04:00:00,NA,LAWRENCE AVE E,LESLIE ST,LAWRENCE AVE E,13,NA,400,NA,33,Don Valley West(15),NA,Don Valley East(16),NA,Leslie St And Lawrence Ave E,North York,6015,LESLIE ST
23150,13449822,Leslie St,York Mills Rd,14,NA,NA,NA,NA,14,"c(-79.3599699911438, 43.7529540024844)",NA,NA,NA,2009-08-05T04:00:00,NA,YORK MILLS RD,LESLIE ST,YORK MILLS RD,14,NA,755,NA,33,Don Valley West(15),NA,Don Valley East(16),NA,Leslie St And York Mills Rd,North York,6016,LESLIE ST
23151,13448765,Bayview Ave,Truman Rd,15,NA,NA,NA,NA,15,"c(-79.3866350029291, 43.7605860032119)",NA,32,NA,2008-03-31T04:00:00,FIFESHIRE RD,TRUMAN RD,BAYVIEW AVE,TRUMAN RD,15,NA,1083,NA,33,Don Valley West(15),NA,NA,NA,Bayview Ave And Truman Rd / Fifeshire Rd,North York,6017,BAYVIEW AVE
23152,14038170,Midland Ave,McNicoll Ave,16,NA,NA,NA,NA,16,"c(-79.2922180081124, 43.8145780077135)",NA,NA,NA,2008-10-09T04:00:00,NA,MCNICOLL AVE,MIDLAND AVE,MCNICOLL AVE,16,NA,1540,NA,42,Scarborough-Agincourt(22),NA,Scarborough North(23),NA,Midland Ave And Mcnicoll Ave,Scarborough,6018,MIDLAND AVE
23153,13441903,Steeles Ave E,Birchmount Rd,17,NA,NA,NA,NA,17,"c(-79.3169249962472, 43.8213920039946)",NA,NA,NA,2009-03-17T04:00:00,NA,BIRCHMOUNT RD,STEELES AVE E,BIRCHMOUNT RD,17,NA,1363,NA,42,Scarborough-Agincourt(22),NA,NA,NA,Steeles Ave E And Birchmount Rd,Scarborough,6019,STEELES AVE E
23154,13446799,Warden Ave,Arkona Dr,18,NA,NA,NA,NA,18,"c(-79.3053560099501, 43.7730890055368)",NA,NA,NA,2008-08-11T04:00:00,CLOVERLEAF GT,ARKONA DR,WARDEN AVE,ARKONA DR,18,NA,927,NA,42,Scarborough-Agincourt(22),NA,NA,NA,Warden Ave And Arkona Dr / Cloverleaf Gt,Scarborough,6020,WARDEN AVE
23155,13441677,Steeles Ave E,Brimley Rd,19,NA,NA,NA,NA,19,"c(-79.2872019971675, 43.8282939976019)",NA,NA,NA,2008-05-29T04:00:00,NA,BRIMLEY RD,STEELES AVE E,BRIMLEY RD,19,NA,1491,NA,42,Scarborough North(23),NA,NA,NA,Steeles Ave E And Brimley Rd,Scarborough,6021,STEELES AVE E
23156,13465757,College St,Bathurst St,20,NA,NA,NA,NA,20,"c(-79.4077219983493, 43.656481004806)",NA,NA,NA,2008-08-11T04:00:00,NA,BATHURST ST,COLLEGE ST,BATHURST ST,20,NA,300,NA,14,University-Rosedale(11),NA,NA,NA,College St And Bathurst St,Toronto and East York,6022,COLLEGE ST
23157,13447211,Morningside Ave,Lawrence Ave E,21,NA,NA,NA,NA,21,"c(-79.1862250063822, 43.768408003812)",NA,NA,NA,2008-08-11T04:00:00,NA,LAWRENCE AVE E,MORNINGSIDE AVE,LAWRENCE AVE E,21,NA,499,NA,43,Scarborough-Guildwood(24),NA,Scarborough-Rouge Park(25),NA,Morningside Ave And Lawrence Ave E,Scarborough,6023,MORNINGSIDE AVE
23158,13461025,Dixon Rd,Carlingview Dr,22,NA,NA,NA,NA,22,"c(-79.5955659976761, 43.6867570035774)",NA,NA,NA,2009-03-19T04:00:00,NA,CARLINGVIEW DR,DIXON RD,CARLINGVIEW DR,22,NA,536,NA,23,Etobicoke North(1),NA,NA,NA,Dixon Rd And Carlingview Dr,Etobicoke York,6024,DIXON RD
